id,title,year,released_month,genre,rated,runtime,language,director,writer,main_actor,metascore,rating,votes,budget,gross
"65","The Lazarus Effect","2015","Feb","Horror","PG-13","83","English","David Gelb","Luke Dawson","Mark Duplass","31","52","25006","3300000","25799043"
"66","Hitman: Agent 47","2015","Aug","Action","R","96","English","Aleksander Bach","Skip Woods","Angelababy","28","58","51744","35000000","22464430"
"67","Fantastic Four","2015","Jul","Action","PG-13","106","English","Tim Story","Mark Frost","Ioan Gruffudd","40","57","258549","120000000","56117548"
"68","Me and Earl and the Dying Girl","2015","Jul","Comedy","PG-13","105","English","Alfonso Gomez-Rejon","Jesse Andrews","Thomas Mann","74","78","58944","8000000","6743776"
"69","Pan","2015","Oct","Adventure","PG","111","English","Joe Wright","Jason Fuchs","Hugh Jackman","36","59","28997","150000000","34964818"
"70","Magic Mike XXL","2015","Jul","Comedy","R","115","English","Gregory Jacobs","Reid Carolin","Channing Tatum","60","57","32818","14800000","66009973"
"71","By the Sea","2015","Dec","Drama","R","122","English","Angelina Jolie","Angelina Jolie","Brad Pitt","44","52","4534","10000000","531009"
"72","Pitch Perfect 2","2015","May","Comedy","PG-13","115","English","Elizabeth Banks","Kay Cannon","Anna Kendrick","63","65","84121","29000000","183436380"
"73","The Longest Ride","2015","Apr","Drama","PG-13","128","English","George Tillman Jr.","Nicholas Sparks","Britt Robertson","33","71","42134","34000000","37432299"
"74","Little Boy","2015","Apr","Drama","PG-13","106","English","Alejandro Monteverde","Alejandro Monteverde","Ted Levine","30","74","13768","30000000","6420319"
"75","The Hateful Eight","2015","Dec","Crime","R","187","English","Quentin Tarantino","Quentin Tarantino","Samuel L. Jackson","68","80","166614","62000000","53007830"
"76","The Ghouls","2015","Mar","Horror","R","81","English","Chad Ferrin","Chad Ferrin","Timothy Muskatell","N/A","41","415","37000000","816974"
"77","Woman in Gold","2015","Apr","Biography","PG-13","109","English","Simon Curtis","Alexi Kaye Campbell","Helen Mirren","51","73","29083","11000000","33305037"
"78","Ted 2","2015","Jun","Comedy","R","115","English","Seth MacFarlane","Seth MacFarlane","Mark Wahlberg","48","64","98958","68000000","81257500"
"79","Bridge of Spies","2015","Oct","Biography","PG-13","142","English","Steven Spielberg","Matt Charman","Mark Rylance","81","77","112329","40000000","72051548"
"80","My All American","2015","Nov","Biography","PG","118","English","Angelo Pizzo","Angelo Pizzo","Aaron Eckhart","34","69","1222","20000000","2246000"
"81","Cinderella","2015","Mar","Animation","APPROVED","74","English","Clyde Geronimi, Wilfred Jackson, Hamilton Luske","Charles Perrault","Ilene Woods","N/A","73","99040","95000000","201148159"
"82","Demonic","2015","Feb","Horror","R","83","English","Will Canon","Max La Bella","Maria Bello","N/A","53","6359","3000000","3387774"
"83","Strangerland","2015","Jul","Drama","R","112","English","Kim Farrant","Michael Kinirons","Nicole Kidman","42","52","5,087","10000000","17472"
"84","Best of Enemies","2015","Jul","Documentary","R","87","English","Robert Gordon, Morgan Neville","Robert Gordon","Paul Newman","77","76","2420","1000000","891997"
"85","Get Hard","2015","Mar","Comedy","R","100","English","Etan Cohen","Jay Martel","Will Ferrell","34","61","74947","40000000","90353764"
"86","Ant-Man","2015","Jul","Action","PG-13","117","English","Peyton Reed","Edgar Wright","Paul Rudd","64","74","235524","130000000","180202163"
"87","The Martian","2015","Oct","Adventure","PG-13","144","English","Ridley Scott","Drew Goddard","Matt Damon","80","81","341,153","108000000","228120056"
"88","The Big Short","2015","Dec","Biography","R","130","English","Adam McKay","Charles Randolph","Ryan Gosling","81","79","106,723","28000000","63660681"
"89","Mission: Impossible - Rogue Nation","2015","Jul","Action","PG-13","131","English","Christopher McQuarrie","Christopher McQuarrie","Tom Cruise","75","75","207337","150000000","195042377"
"90","Ride Along 2","2016","Jan","Action","PG-13","102","English","Tim Story","Phil Hay","Ice Cube","32","59","10186","40000000","82661235"
"91","Spy","2015","Jun","Action","R","119","English","Paul Feig","Paul Feig","Jude Law","75","71","141,626","65000000","110822419"
"92","The Man from U.N.C.L.E.","2015","Aug","Action","PG-13","116","English","Guy Ritchie","Guy Ritchie","Henry Cavill","56","73","145,170","75000000","45372659"
"93","I Smile Back","2015","Nov","Drama","R","85","English","Adam Salky","Paige Dylan","Josh Charles","59","60","2218","495000","57678"
"94","Kung Fu Panda 3","2016","Jan","Animation","PG","95","English","Alessandro Carloni, Jennifer Yuh","Jonathan Aibel","Jack Black","65","76","12433","145000000","93912387"
"95","Self/less","2015","Jul","Action","PG-13","117","English","Tarsem Singh","David Pastor","Ryan Reynolds","34","65","47857","26000000","12276810"
"96","Vacation","2015","Jul","Adventure","R","99","English","John Francis Daley, Jonathan M. Goldstein","Jonathan M. Goldstein","Ed Helms","34","62","52476","31000000","58787835"
